Razao Social;Fundo;Segmento;Codigo
 ARX DOVER RECEBIVEIS FDO DE INV IMOB;FII ARXD R;;ARXD;
 CANUMA CAPITAL MULTIESTRATEGIA FDO DE INV IMOB;FII CANUMA;;CCME;
 FL4440 FUNDO DE INVESTIMENTO IMOBILIARIO;FII FL4440;;FLFL;
 INTER TEVA INDICE DE TIJOLO FUNDO DE INVESTIMENTO;FII INTER IT;;ITIT;
 JASC RENDA VAREJO ESSENCIAL FDO DE INV IMOB - FII;FII JASC REN;;JASC;
AF INVEST CRI FDO. INV. IMOB - RECEBIVEIS IMOB.;FII AFHI CRI;;AFHI;
ALIANZA MULTIESTRATEGIA FUNDO DE INVESTIMENTO IMOB;FII ALIANZME;;ALZM;
ALIANZA MULTIOFFICES  - FDO. INV. IMOB;FII MULT OF1;;MTOF;
ALIANZA TRUST RENDA IMOBILIARIA FDO INV IMOB;FII ALIANZA;;ALZR;
ALIANZA URBAN HUB RENDA FUNDO DE INVESTIMENTO IMOB;FII ALI URB;;AURB;
AROEIRA 333 RENDA LOGISTICA FDO DE INV IMOB;FII AROA;;AROA;
ASA METROPOLIS FUNDO DE INVESTIMENTO IMOBILIARIO;FII ASA MET;;ASMT;
ASA RETROFITS I FDO DE INV IMOB - FII;FII ASA RET;;ASRF;
AUTONOMY EDIFICIOS CORPORATIVOS FUND. INV. IMOB.;FII AUTONOMY;;AIEC;
BANESTES RECEBIVEIS IMOBILIARIOS FDO INV IMOB  FII;FII BEES CRI;;BCRI;
BANRISUL NOVAS FRONTEIRAS FDO INV IMOB - FII;FII BANRISUL;;BNFS;
BARZEL CD1 FUNDO DE INVESTIMENTO IMOBILIARIO;FII BARZEL;;BZEL;
BASILICA PARTNERS LED CORPORATE FDO INV IMOB FII;FII BASILICA;;BPLC;
BB FDO INV IMOB PROGRESSIVO;FII BB PROGR;MB;BBFI;
BB FUNDO DE FUNDOS - FDO. INV. IMOB.;FII BB FOF;;BBFO;
BB PROGRESSIVO II FDO INV IMOB - FII;FII BB PRGII;;BBPO;
BB RECEBIVEIS IMOBILIARIOS FDO INV IMOB - FII;FII BB RECIM;;BBIM;
BB RENDA CORPORATIVA FDO INV IMOB - FII;FII BB CORP;;BBRC;
BB RENDA DE PAPEIS IMOBILIARIOS FDO INV IMOB - FII;FII BB R PAP;;RNDP;
BLUEMACAW LOGISTICA FDO. INVEST. IMOB.;FII BLUE LOG;;BLMG;
BR7 SENADO FUNDO DE INVESTIMENTO IMOBILIARIO;FII BR7 SENA;;BRSE;
BRADESCO CARTEIRA IMOBILIARIA ATIVA - FII;FII BCIA;;BCIA;
BRAZIL REAL ESTATE VICTORY FUND I - FDO. INV. IMOB;FII BRE VIC;;BREV;
